"gene_id","logFC","AveExpr","t","P.Value","FDR","B","ENTREZID","SYMBOL","strict_DEG","direction","label_final","label_score"
"G10090_24228",0.505364421624294,7.92881468654648,8.69611197177153,4.47848983937086e-09,5.5683464892473e-08,10.8034180964334,"20932","Surf4",FALSE,"Not_strict","Surf4",3.66605185730059
"G10090_23161",-0.931729355656938,3.40142867126751,-8.69440417580004,4.49540121376262e-09,5.58186499991013e-08,10.6749438693479,"171210","Acot2",FALSE,"Not_strict","Acot2",6.75803862254642
"G10090_13415",2.53397267635284,1.51876622189954,8.69422661497687,4.49716326245292e-09,5.58186499991013e-08,10.9207402126968,"17085","Ly9",TRUE,"Up","Ly9",18.3794629967365
"G10090_23927",2.07125605550676,6.24764262604147,8.69296612829244,4.50969228272994e-09,5.59256553363502e-08,10.6812717857539,"13040","Ctss",TRUE,"Up","Ctss",15.0215544635928
"G10090_9273",1.60973237069859,8.2363264940657,8.68781496656878,4.56126775380767e-09,5.64570922666632e-08,10.8245439331655,"26360","Angptl2",TRUE,"Up","Angptl2",11.6677933516429
"G10090_16779",-0.85030497412791,3.66413396823233,-8.68776172305411,4.5618040009981e-09,5.64570922666632e-08,10.6280088743613,"67676","Rpp21",FALSE,"Not_strict","Rpp21",6.16324980760185
"G10090_9315",-0.473121095666208,4.41308713190224,-8.68750594984537,4.56438094839839e-09,5.64570922666632e-08,10.5590212454308,"18632","Pex11b",FALSE,"Not_strict","Pex11b",3.42931488179027
"G10090_33834",2.17654355934792,-0.119880327138149,8.68429182375979,4.5968914234405e-09,5.68002938222967e-08,10.8466606946224,"65079","Rtn4r",TRUE,"Up","Rtn4r",15.7704715734332
"G10090_215",1.42540903594492,4.53451387057023,8.68379848055944,4.6019025423099e-09,5.68002938222967e-08,10.5975654454167,"56501","Elf4",TRUE,"Up","Elf4",10.3280141513083
"G10090_21391",-1.42981585150263,8.12475097811825,-8.68358873590518,4.60403471692154e-09,5.68002938222967e-08,10.790152408307,"14719","Got2",TRUE,"Down","Got2",10.359944391888
"G10090_21170",1.7114126507055,2.11873245032249,8.68222975312224,4.61787416417454e-09,5.69219613811386e-08,10.8452956127695,"238257","Tmem30b",TRUE,"Up","Tmem30b",12.3987057047215
"G10090_7920",1.56228625167445,3.43718221039357,8.67879630611742,4.65302996873227e-09,5.7305948263793e-08,10.6934228782532,"78070","Cpt1c",TRUE,"Up","Cpt1c",11.3137650408053
"G10090_78",1.17484263365672,2.78964065870611,8.6720524339237,4.72288442172769e-09,5.80712608822106e-08,10.7387709244563,"58235","Nectin1",TRUE,"Up","Nectin1",8.50120681544376
"G10090_19748",1.57742464884073,6.2418322644841,8.67201395020673,4.72328612024968e-09,5.80712608822106e-08,10.6174461145523,"83675","Bicc1",TRUE,"Up","Bicc1",11.4143058750217
