"sample_id","geo_accession","tissue_inferred","group_inferred","filename","file","file_exists","size_bytes","size_mb"
"GSM7140518_CON9_synovium","GSM7140518","synovium","Control_52W","GSM7140518_CON9_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140518_CON9_synovium_quant.sf.txt.gz",TRUE,782111,0.746
"GSM7140519_REPAIR1_synovium","GSM7140519","synovium","Repair_52W","GSM7140519_REPAIR1_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140519_REPAIR1_synovium_quant.sf.txt.gz",TRUE,777032,0.741
"GSM7140520_REPAIR2_synovium","GSM7140520","synovium","Repair_52W","GSM7140520_REPAIR2_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140520_REPAIR2_synovium_quant.sf.txt.gz",TRUE,774966,0.739
"GSM7140521_REPAIR3_synovium","GSM7140521","synovium","Repair_52W","GSM7140521_REPAIR3_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140521_REPAIR3_synovium_quant.sf.txt.gz",TRUE,765888,0.73
"GSM7140522_REPAIR4_synovium","GSM7140522","synovium","Repair_52W","GSM7140522_REPAIR4_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140522_REPAIR4_synovium_quant.sf.txt.gz",TRUE,782492,0.746
"GSM7140523_CON10_synovium","GSM7140523","synovium","Control_52W","GSM7140523_CON10_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140523_CON10_synovium_quant.sf.txt.gz",TRUE,783302,0.747
"GSM7140524_REPAIR5_synovium","GSM7140524","synovium","Repair_52W","GSM7140524_REPAIR5_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140524_REPAIR5_synovium_quant.sf.txt.gz",TRUE,772136,0.736
"GSM7140525_REPAIR6_synovium","GSM7140525","synovium","Repair_52W","GSM7140525_REPAIR6_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140525_REPAIR6_synovium_quant.sf.txt.gz",TRUE,760922,0.726
"GSM7140526_REPAIR7_synovium","GSM7140526","synovium","Repair_52W","GSM7140526_REPAIR7_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140526_REPAIR7_synovium_quant.sf.txt.gz",TRUE,782548,0.746
"GSM7140527_CON11_synovium","GSM7140527","synovium","Control_52W","GSM7140527_CON11_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140527_CON11_synovium_quant.sf.txt.gz",TRUE,776144,0.74
"GSM7140528_REPAIR8_synovium","GSM7140528","synovium","Repair_52W","GSM7140528_REPAIR8_synovium_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140528_REPAIR8_synovium_quant.sf.txt.gz",TRUE,776672,0.741
