"contrast","branch","gene_id","gene_symbol","logFC","PValue","FDR","rank_stat"
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000035776","ENSSSCG00000035776",0.397494583821687,0.0727593177673498,0.133383307341795,1.13811138178096
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000008590","MFSD2B",0.430806036119448,0.0727695278320717,0.133383307341795,1.13805044300614
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000029811","PLCL2",0.240106779862154,0.0727750776007761,0.133383307341795,1.13801732279646
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000010484","NOC3L",0.290999430270226,0.0729835191611477,0.133713434924136,1.13677519940629
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000011562","EMC3",0.216502823294157,0.0730371308502156,0.133794350926339,1.13645629572011
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000012149","RBBP7",0.200064746515081,0.0730489679426613,0.133798730368532,1.13638591552672
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000000754","RAD52",0.223596421821985,0.0732464754107671,0.134125801902793,1.13521326853676
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000038662","FAM200C",0.286446873173084,0.0734146935874212,0.134379645761987,1.13421700949406
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000027556","RSRC1",0.216369110834823,0.0734230498836498,0.134379645761987,1.13416757951428
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000058636","PPCS",0.269150831276888,0.0734425171846644,0.134397908708474,1.13405244644904
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000018096","ENSSSCG00000018096",0.533863415662066,0.073459858071537,0.134412276156214,1.1339499150706
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000017614","TRIM25",0.236100154250662,0.0737078190680751,0.134784764764479,1.13248643889811
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000008518","SLC30A6",0.237082255024161,0.0737110129811958,0.134784764764479,1.13246762042255
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000052588","ENSSSCG00000052588",0.540546263901847,0.0738502471414326,0.135004504454214,1.13164804697382
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000055059","ENSSSCG00000055059",0.464726897173495,0.0739816320960079,0.135209785420368,1.13087609201939
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000038731","STX18",0.196333170985931,0.0740360920795386,0.135291860174763,1.13055651311043
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000036684","TTPAL",0.284104736680509,0.0741667770573239,0.135513187595451,1.12979059299349
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000005465","SUSD1",0.582884522652117,0.0742226754359629,0.135597829856182,1.12946339509457
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000061358","ENSSSCG00000061358",0.410661223933587,0.0742331291659215,0.135599437903806,1.12940223214771
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000005164","HACD4",0.229719469931574,0.074265649177254,0.135641348155593,1.12921201830412
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000002387","GPATCH2L",0.206670876067004,0.0744058632888628,0.135862401395314,1.12839284007688
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000018031","ZNF287",0.341172892847759,0.0744184441251977,0.135867858029041,1.12831941406327
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000034516","CDKL1",0.305809707876494,0.0744348633700193,0.135880320243969,1.12822360446963
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000036096","ENSSSCG00000036096",0.583842931815685,0.0746594005010977,0.136184900025441,1.12691550168684
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000001563","STK38",0.193919506951237,0.0748303518240267,0.136426451697196,1.12592221288368
